datahora,Observado
2012-04-26 00:00:00+00:00,126.89999999999999
2012-04-27 00:00:00+00:00,250.36166666666668
2012-04-28 00:00:00+00:00,663.8608333333333
2012-04-29 00:00:00+00:00,810.0504166666666
2012-04-30 00:00:00+00:00,965.5058333333333
2012-05-01 00:00:00+00:00,1077.58125
2012-05-02 00:00:00+00:00,1083.695
2012-05-03 00:00:00+00:00,1075.0687500000001
2012-05-04 00:00:00+00:00,1060.3908333333334
2012-05-05 00:00:00+00:00,1043.0054166666666
2012-05-06 00:00:00+00:00,1024.0870833333333
2012-05-07 00:00:00+00:00,998.33875
2012-05-08 00:00:00+00:00,957.8829166666666
2012-05-09 00:00:00+00:00,902.0683333333333
2012-05-10 00:00:00+00:00,825.2541666666666
2012-05-11 00:00:00+00:00,747.7829166666667
2012-05-12 00:00:00+00:00,667.46375
2012-05-13 00:00:00+00:00,591.845
2012-05-14 00:00:00+00:00,517.2979166666667
2012-05-15 00:00:00+00:00,431.935
2012-05-16 00:00:00+00:00,362.26708333333335
2012-05-17 00:00:00+00:00,326.235
2012-05-18 00:00:00+00:00,302.4770833333333
2012-05-19 00:00:00+00:00,284.2004166666667
2012-05-20 00:00:00+00:00,265.96958333333333
2012-05-21 00:00:00+00:00,252.845
2012-05-22 00:00:00+00:00,240.90083333333334
2012-05-23 00:00:00+00:00,232.85541666666666
2012-05-24 00:00:00+00:00,226.14958333333334
2012-05-25 00:00:00+00:00,221.80458333333334
2012-05-26 00:00:00+00:00,248.0775
2012-05-27 00:00:00+00:00,318.7991666666667
2012-05-28 00:00:00+00:00,441.52666666666664
2012-05-29 00:00:00+00:00,525.9770833333333
2012-05-30 00:00:00+00:00,570.25125
2012-05-31 00:00:00+00:00,567.6666666666666
2012-06-01 00:00:00+00:00,529.8116666666666
2012-06-02 00:00:00+00:00,481.0833333333333
2012-06-03 00:00:00+00:00,436.6858333333333
2012-06-04 00:00:00+00:00,402.66
2012-06-05 00:00:00+00:00,454.7791666666667
2012-06-06 00:00:00+00:00,725.0858333333334
2012-06-07 00:00:00+00:00,919.5375
2012-06-08 00:00:00+00:00,1015.5666666666666
2012-06-09 00:00:00+00:00,1078.17375
2012-06-10 00:00:00+00:00,1102.3579166666666
2012-06-11 00:00:00+00:00,1129.1929166666666
2012-06-12 00:00:00+00:00,1315.8845833333332
2012-06-13 00:00:00+00:00,1479.6120833333334
2012-06-14 00:00:00+00:00,1542.7345833333331
2012-06-15 00:00:00+00:00,1591.6187499999999
2012-06-16 00:00:00+00:00,1642.6841666666667
2012-06-17 00:00:00+00:00,1677.5333333333335
2012-06-18 00:00:00+00:00,1700.3679166666668
2012-06-19 00:00:00+00:00,1749.6333333333332
2012-06-20 00:00:00+00:00,1796.0845833333333
